
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/manifest_wu_core_children.csv
[OPENWORM-VALIDATOR] objects  = 204
[OPENWORM-VALIDATOR][LOADED] 150 name=ut4_Post category=reproductive_rectal_system raw_tri=1536 kept_tri=1536 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 151 name=ut4_Ant category=reproductive_rectal_system raw_tri=1152 kept_tri=1152 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 152 name=Sp_Ut_Valve_Post category=reproductive_rectal_system raw_tri=1152 kept_tri=1152 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 153 name=Sp_Ut_Valve_Ant category=reproductive_rectal_system raw_tri=1152 kept_tri=1152 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 154 name=Gonadal_Sheath_P5V category=reproductive_rectal_system raw_tri=2480 kept_tri=2480 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 155 name=Oocyte_Post_8 category=reproductive_rectal_system raw_tri=896 kept_tri=896 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 156 name=Oocyte_Post_7 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 157 name=Oocyte_Post_6 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 158 name=Oocyte_Post_5 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 159 name=Oocyte_Post_4 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 160 name=Oocyte_Post_3 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 161 name=Oocyte_Post_2 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 162 name=Oocyte_Post_1 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 163 name=Oocyte_Ant_10 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 164 name=Oocyte_Ant_9 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 165 name=Oocyte_Ant_8 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 166 name=Oocyte_Ant_7 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 167 name=Oocyte_Ant_6 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 168 name=Oocyte_Ant_5 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 169 name=Oocyte_Ant_4 category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
