
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/openworm_object_stl_manifest_repaired.csv
[OPENWORM-VALIDATOR] objects  = 694
[OPENWORM-VALIDATOR][LOADED] 115 name=mu_bod_DR3 category=muscle/pharynx-muscle raw_tri=2032 kept_tri=2032 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 116 name=mu_bod_DR5 category=muscle/pharynx-muscle raw_tri=3274 kept_tri=3274 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 117 name=mu_bod_DR7 category=muscle/pharynx-muscle raw_tri=2864 kept_tri=2864 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 118 name=mu_bod_DR9 category=muscle/pharynx-muscle raw_tri=3658 kept_tri=3658 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 119 name=mu_bod_DR11 category=muscle/pharynx-muscle raw_tri=3626 kept_tri=3626 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 120 name=mu_bod_DR21 category=muscle/pharynx-muscle raw_tri=3648 kept_tri=3648 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 121 name=mu_bod_DR19 category=muscle/pharynx-muscle raw_tri=2410 kept_tri=2410 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 122 name=mu_bod_DR17 category=muscle/pharynx-muscle raw_tri=3728 kept_tri=3728 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 123 name=mu_bod_DR15 category=muscle/pharynx-muscle raw_tri=4490 kept_tri=4490 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 124 name=mu_bod_DR13 category=muscle/pharynx-muscle raw_tri=2848 kept_tri=2848 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 125 name=mu_bod_DL22 category=muscle/pharynx-muscle raw_tri=5920 kept_tri=5920 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 126 name=mu_bod_DL20 category=muscle/pharynx-muscle raw_tri=6528 kept_tri=6528 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 127 name=mu_bod_DL18 category=muscle/pharynx-muscle raw_tri=5360 kept_tri=5360 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 128 name=mu_bod_DL16 category=muscle/pharynx-muscle raw_tri=4816 kept_tri=4816 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 129 name=mu_bod_DL14 category=muscle/pharynx-muscle raw_tri=4816 kept_tri=4816 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 130 name=mu_bod_DL12 category=muscle/pharynx-muscle raw_tri=5312 kept_tri=5312 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 131 name=mu_bod_DL10 category=muscle/pharynx-muscle raw_tri=4192 kept_tri=4192 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 132 name=mu_bod_DL8 category=muscle/pharynx-muscle raw_tri=3920 kept_tri=3920 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 133 name=mu_bod_DL6 category=muscle/pharynx-muscle raw_tri=2576 kept_tri=2576 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 134 name=mu_bod_DL4 category=muscle/pharynx-muscle raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 135 name=mu_bod_DL2 category=muscle/pharynx-muscle raw_tri=2760 kept_tri=2760 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 136 name=mu_bod_DL23 category=muscle/pharynx-muscle raw_tri=6896 kept_tri=6896 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 137 name=mu_bod_DL21 category=muscle/pharynx-muscle raw_tri=3630 kept_tri=3630 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 138 name=mu_bod_DL19 category=muscle/pharynx-muscle raw_tri=2434 kept_tri=2434 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 139 name=mu_bod_DL17 category=muscle/pharynx-muscle raw_tri=4064 kept_tri=4064 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 140 name=mu_bod_DL15 category=muscle/pharynx-muscle raw_tri=4024 kept_tri=4024 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 141 name=mu_bod_DL3 category=muscle/pharynx-muscle raw_tri=2048 kept_tri=2048 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 142 name=mu_bod_DL5 category=muscle/pharynx-muscle raw_tri=3256 kept_tri=3256 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 143 name=mu_bod_DL7 category=muscle/pharynx-muscle raw_tri=2832 kept_tri=2832 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 144 name=mu_bod_DL9 category=muscle/pharynx-muscle raw_tri=3640 kept_tri=3640 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 145 name=mu_bod_DL11 category=muscle/pharynx-muscle raw_tri=3630 kept_tri=3630 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 146 name=mu_bod_DL13 category=muscle/pharynx-muscle raw_tri=2848 kept_tri=2848 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 147 name=mu_bod_VR23 category=muscle/pharynx-muscle raw_tri=7680 kept_tri=7680 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 148 name=mu_bod_VL23 category=muscle/pharynx-muscle raw_tri=7680 kept_tri=7680 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 149 name=mu_bod_DR1 category=muscle/pharynx-muscle raw_tri=3152 kept_tri=3152 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 150 name=mu_bod_DR24 category=muscle/pharynx-muscle raw_tri=6154 kept_tri=6154 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 151 name=mu_bod_DL1 category=muscle/pharynx-muscle raw_tri=3280 kept_tri=3280 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 152 name=mu_bod_DL24 category=muscle/pharynx-muscle raw_tri=6688 kept_tri=6688 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 153 name=mu_bod_VR24 category=muscle/pharynx-muscle raw_tri=9904 kept_tri=9904 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 154 name=Sp_bag_P_4R category=neuron-or-cell raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 155 name=Sp_neck_P_1L category=neuron-or-cell raw_tri=2304 kept_tri=2304 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 156 name=Sp_neck_P_1R category=neuron-or-cell raw_tri=2304 kept_tri=2304 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 157 name=Sp_neck_P_2L category=neuron-or-cell raw_tri=2368 kept_tri=2368 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 158 name=Sp_neck_P_3R category=neuron-or-cell raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 159 name=Sp_neck_P_4L category=neuron-or-cell raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 160 name=Sp_neck_P_3L category=neuron-or-cell raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 161 name=Sp_neck_P_2R category=neuron-or-cell raw_tri=2368 kept_tri=2368 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 162 name=Sp_neck_P_4R category=neuron-or-cell raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 163 name=Sp_bag_P_1V category=other-cell/anatomy raw_tri=6144 kept_tri=6144 skipped_deg=0
